nohup: ignoring input
运行模式: train
项目目录: /root/autodl-tmp/MokioMind
日志文件: /root/autodl-tmp/MokioMind/logs/sft_train_20260905_125109.log
执行命令:
/root/autodl-tmp/MokioMind/.venv/bin/python3 /root/autodl-tmp/MokioMind/trainer/train_full_sft.py --data_path dataset/advertisegen/advertisegen_sft_train.jsonl --val_data_path dataset/advertisegen/advertisegen_sft_val.jsonl --from_weight pretrain --save_dir out --hidden_size 512 --num_hidden_layers 8 --max_seq_len 512 --epochs 1 --batch_size 8 --accumulation_steps 1 --learning_rate 1e-06 --dtype bfloat16 --num_workers 2 --smoke_max_new_tokens 128 --use_compile 0 --checkpoint_dir checkpoints/advertise_sft_ep1 --save_weight advertise_sft_ep1 --max_steps 0 --val_batches 0 --val_interval 0 --log_interval 50 --save_interval 500 --smoke_generate_samples 5
================================================================================
所加载Model可训练参数：25.830 百万
Epoch:[1/1] batch:1/9819, optimizer_step:1, loss:3.4659, grad_norm:28.5631, lr:0.00000100, elapsed:0.0min
Epoch:[1/1] batch:50/9819, optimizer_step:50, loss:3.3517, grad_norm:11.5153, lr:0.00000100, elapsed:0.1min
Epoch:[1/1] batch:100/9819, optimizer_step:100, loss:3.1181, grad_norm:15.1701, lr:0.00000100, elapsed:0.1min
Epoch:[1/1] batch:150/9819, optimizer_step:150, loss:2.8518, grad_norm:5.1458, lr:0.00000100, elapsed:0.1min
Epoch:[1/1] batch:200/9819, optimizer_step:200, loss:2.7296, grad_norm:10.5884, lr:0.00000100, elapsed:0.2min
Epoch:[1/1] batch:250/9819, optimizer_step:250, loss:2.7577, grad_norm:4.1541, lr:0.00000100, elapsed:0.2min
Epoch:[1/1] batch:300/9819, optimizer_step:300, loss:2.5965, grad_norm:3.2144, lr:0.00000100, elapsed:0.3min
Epoch:[1/1] batch:350/9819, optimizer_step:350, loss:2.9241, grad_norm:3.7148, lr:0.00000100, elapsed:0.3min
Epoch:[1/1] batch:400/9819, optimizer_step:400, loss:2.5186, grad_norm:2.6538, lr:0.00000100, elapsed:0.4min
Epoch:[1/1] batch:450/9819, optimizer_step:450, loss:2.6895, grad_norm:3.1103, lr:0.00000100, elapsed:0.4min
Epoch:[1/1] batch:500/9819, optimizer_step:500, loss:2.5410, grad_norm:3.1468, lr:0.00000099, elapsed:0.4min
权重已保存: /root/autodl-tmp/MokioMind/out/advertise_sft_ep1_512.pth
Epoch:[1/1] batch:550/9819, optimizer_step:550, loss:2.6878, grad_norm:2.8588, lr:0.00000099, elapsed:0.5min
Epoch:[1/1] batch:600/9819, optimizer_step:600, loss:2.5653, grad_norm:2.8870, lr:0.00000099, elapsed:0.5min
Epoch:[1/1] batch:650/9819, optimizer_step:650, loss:2.6322, grad_norm:2.9794, lr:0.00000099, elapsed:0.6min
Epoch:[1/1] batch:700/9819, optimizer_step:700, loss:2.5633, grad_norm:2.9036, lr:0.00000099, elapsed:0.6min
Epoch:[1/1] batch:750/9819, optimizer_step:750, loss:2.8542, grad_norm:3.1919, lr:0.00000099, elapsed:0.7min
Epoch:[1/1] batch:800/9819, optimizer_step:800, loss:2.3742, grad_norm:2.5895, lr:0.00000099, elapsed:0.7min
Epoch:[1/1] batch:850/9819, optimizer_step:850, loss:2.6496, grad_norm:2.7044, lr:0.00000098, elapsed:0.8min
Epoch:[1/1] batch:900/9819, optimizer_step:900, loss:2.6399, grad_norm:2.8657, lr:0.00000098, elapsed:0.8min
Epoch:[1/1] batch:950/9819, optimizer_step:950, loss:2.4651, grad_norm:2.7626, lr:0.00000098, elapsed:0.8min
Epoch:[1/1] batch:1000/9819, optimizer_step:1000, loss:2.5654, grad_norm:2.4449, lr:0.00000098, elapsed:0.9min
权重已保存: /root/autodl-tmp/MokioMind/out/advertise_sft_ep1_512.pth
Epoch:[1/1] batch:1050/9819, optimizer_step:1050, loss:2.7929, grad_norm:2.7664, lr:0.00000097, elapsed:0.9min
Epoch:[1/1] batch:1100/9819, optimizer_step:1100, loss:2.5862, grad_norm:3.0041, lr:0.00000097, elapsed:1.0min
Epoch:[1/1] batch:1150/9819, optimizer_step:1150, loss:2.6695, grad_norm:2.8936, lr:0.00000097, elapsed:1.0min
