nohup: ignoring input
所加载Model可训练参数：25.830 百万
Epoch [1/2]: 跳过前176638个step，从step 176639开始
Epoch:[2/2](10/176638) loss:1.939145 lr:0.000274979991 epoch_Time:339.0min:
Epoch:[2/2](20/176638) loss:2.261624 lr:0.000274959983 epoch_Time:244.0min:
Epoch:[2/2](30/176638) loss:1.927676 lr:0.000274939974 epoch_Time:209.0min:
Epoch:[2/2](40/176638) loss:1.821886 lr:0.000274919965 epoch_Time:192.0min:
Epoch:[2/2](50/176638) loss:1.983095 lr:0.000274899957 epoch_Time:181.0min:
Epoch:[2/2](60/176638) loss:2.250427 lr:0.000274879948 epoch_Time:174.0min:
Epoch:[2/2](70/176638) loss:2.414057 lr:0.000274859939 epoch_Time:169.0min:
Epoch:[2/2](80/176638) loss:1.928163 lr:0.000274839931 epoch_Time:165.0min:
Epoch:[2/2](90/176638) loss:1.877217 lr:0.000274819922 epoch_Time:161.0min:
Epoch:[2/2](100/176638) loss:1.863940 lr:0.000274799913 epoch_Time:158.0min:
Epoch:[2/2](110/176638) loss:2.011827 lr:0.000274779905 epoch_Time:156.0min:
Epoch:[2/2](120/176638) loss:2.092287 lr:0.000274759896 epoch_Time:154.0min:
Epoch:[2/2](130/176638) loss:1.938880 lr:0.000274739887 epoch_Time:153.0min:
Epoch:[2/2](140/176638) loss:1.751247 lr:0.000274719879 epoch_Time:152.0min:
Epoch:[2/2](150/176638) loss:1.885966 lr:0.000274699870 epoch_Time:151.0min:
Epoch:[2/2](160/176638) loss:2.020831 lr:0.000274679861 epoch_Time:150.0min:
Epoch:[2/2](170/176638) loss:2.498077 lr:0.000274659853 epoch_Time:149.0min:
Epoch:[2/2](180/176638) loss:1.546539 lr:0.000274639844 epoch_Time:149.0min:
Epoch:[2/2](190/176638) loss:2.012275 lr:0.000274619835 epoch_Time:149.0min:
Epoch:[2/2](200/176638) loss:1.696427 lr:0.000274599827 epoch_Time:148.0min:
Epoch:[2/2](210/176638) loss:1.843148 lr:0.000274579818 epoch_Time:147.0min:
Epoch:[2/2](220/176638) loss:2.180343 lr:0.000274559810 epoch_Time:148.0min:
Epoch:[2/2](230/176638) loss:1.937620 lr:0.000274539801 epoch_Time:147.0min:
Epoch:[2/2](240/176638) loss:1.730759 lr:0.000274519792 epoch_Time:147.0min:
Epoch:[2/2](250/176638) loss:2.376164 lr:0.000274499784 epoch_Time:146.0min:
Epoch:[2/2](260/176638) loss:1.909154 lr:0.000274479775 epoch_Time:146.0min:
Epoch:[2/2](270/176638) loss:1.983555 lr:0.000274459766 epoch_Time:146.0min:
Epoch:[2/2](280/176638) loss:1.795989 lr:0.000274439758 epoch_Time:145.0min:
Epoch:[2/2](290/176638) loss:2.266690 lr:0.000274419749 epoch_Time:146.0min:
Epoch:[2/2](300/176638) loss:2.053920 lr:0.000274399741 epoch_Time:145.0min:
Epoch:[2/2](310/176638) loss:2.012098 lr:0.000274379732 epoch_Time:145.0min:
Epoch:[2/2](320/176638) loss:1.945289 lr:0.000274359723 epoch_Time:145.0min:
Epoch:[2/2](330/176638) loss:2.044166 lr:0.000274339715 epoch_Time:144.0min:
Epoch:[2/2](340/176638) loss:1.938778 lr:0.000274319706 epoch_Time:144.0min:
Epoch:[2/2](350/176638) loss:1.717842 lr:0.000274299698 epoch_Time:144.0min:
Epoch:[2/2](360/176638) loss:1.969860 lr:0.000274279689 epoch_Time:144.0min:
Epoch:[2/2](370/176638) loss:1.846757 lr:0.000274259680 epoch_Time:144.0min:
Epoch:[2/2](380/176638) loss:2.155574 lr:0.000274239672 epoch_Time:144.0min:
Epoch:[2/2](390/176638) loss:2.133865 lr:0.000274219663 epoch_Time:144.0min:
Epoch:[2/2](400/176638) loss:1.919894 lr:0.000274199655 epoch_Time:144.0min:
